Na,Ca,P,Si,Tg,P3,P2,P1,P0,Si6,Si5,Si4,Si3,Si2,Si1,Si0
24.3694956,26.92153723,2.5720576459999998,46.13690953,0,0.0,0.00022133137512421816,10.031004223683563,4.9062092505473716e-08,0,0,5.774364271098712e-06,12.41469676432569,65.27358425184597,12.146045615319114,0.1344419900241164
19.4,21.47,2.63,56.5,0,0.0,0.8510492674052625,7.665790104563142,6.269941184567911e-09,0,0,2.7011694200917007,62.462994752137675,25.60402491151336,0.7135602225813097,0.0014113154375651265
14.47289458,15.98319664,2.630526105,66.91338268,0,0.0,3.2444394198476942,4.044917562734113,9.793304783573244e-10,0,0,26.509678193366472,59.790575895923524,6.35605218736656,0.05430177803957559,3.496174266996524e-05
22.9,25.5,3.0,48.6,0,0.0,0.01882937194833299,10.970181586933702,3.012895136327535e-08,0,0,0.005313751549438923,28.333290426365252,55.34206953743375,5.297883319997633,0.032431975642938114
20.72072072,31.53153153,6.506506507,41.24124124,0,0.0,0.003406828286869985,23.981832957016042,6.902721868148327e-08,0,0,0.00021247516286226003,14.963559834665606,53.147040730131,7.840502667169864,0.06344443854056046
18.1,25.0,1.0,55.9,0,0.0,0.09280612360626725,3.361425306079919,3.819854899069278e-09,0,0,0.4575216965377429,52.071001543513056,41.94482464654587,2.065990303419525,0.006430376477729941
19.1,25.8,2.4,52.7,0,0.0,0.14930905986068385,8.19851701626786,1.082797298428714e-08,0,0,0.23658965961206685,45.801167326412745,43.19920521602299,2.4067677273220043,0.008443983673746807
19.3,25.4,4.4,50.9,0,0.0,0.5799442382991512,14.160424256192055,1.472152200422299e-08,0,0,0.6802407266685204,49.505614439505955,33.63172469214209,1.4380631485207234,0.0039884839499603935
20.1,27.4,6.5,46.0,0,0.0,0.44890178291314564,21.584996495095115,2.7076496171688807e-08,0,0,0.24367361736922588,39.98974038693515,35.813129119384385,1.913127764942895,0.0064308062836489896
19.4,21.4,3.2,56.0,0,0.0,1.1461895631892134,9.110220686182712,7.038333302598869e-09,0,0,3.1367077475042713,62.20732002346292,23.77380731606543,0.6245842384916298,0.0011704180654080272
15.1,20.6,2.0,62.3,0,0.0,1.510147784970387,4.52303471716054,1.6398084401245246e-09,0,0,11.496987560572189,67.73207754114927,14.501813804512745,0.23567673436601141,0.0002618556290809206
16.1,22.6,3.0,58.3,0,0.0,1.681036147418973,7.6502235691782765,3.464957999822563e-09,0,0,6.852408093351068,64.99820207586963,18.434607441853114,0.382990931202169,0.000531737661814664
16.2,22.6,4.0,57.2,0,0.0,2.4728184336894996,9.797120212497171,4.120079352889193e-09,0,0,7.813594419623382,63.21567007702104,16.38552643030804,0.31486349964434845,0.00040692309644295546
17.2,24.4,6.0,52.4,0,0.0,3.0103815839545063,15.623158781184527,7.53176511611964e-09,0,0,5.251455327546851,57.88558921110036,17.831121716184906,0.3977053023774675,0.0005880701196470013
