Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM,Si6,Si5,Si4,Si3,Si2,Si1,Si0,P3,P2,P1,P0,B4,Al4,Al6
0,0,0,25.36,0,0,0,0,54.04,20.6,0,0,0,0,0,0,0,0,0,0,0,8.366312187,26.28297944,1.316163115,0,0,0,0,0,0,0,0,0,0,0,9.484512326,26.63317256,0.965969989
0,0,0,30.11,0,0,0,0,49.7,20.19,0,0,0,0,0,0,0,0,0,0,0,11.36261974,28.55752917,0.330723798,0,0,0,0,0,0,0,0,0,0,0,13.79567892,28.31048791,0.577765059
0,0,0,34.95,0,0,0,0,44.82,20.23,0,0,0,0,0,0,0,0,0,0,0,15.69851498,31.05223386,0.046920632,0,0,0,0,0,0,0,0,0,0,0,15.70939277,30.53936972,0.559784781
0,0,0,39.68,0,0,0,0,39.89,20.43,0,0,0,0,0,0,0,0,0,0,0,16.94543253,33.86529494,0.004068458,0,0,0,0,0,0,0,0,0,0,0,12.30029841,33.22584549,0.643517905
0,0,0,44.91,0,0,0,0,34.71,20.38,0,0,0,0,0,0,0,0,0,0,0,12.9282297,36.99391759,9.22E-05,0,0,0,0,0,0,0,0,0,0,0,7.749736794,36.32811763,0.665892176
0,0,0,30,0,0,0,0,40,30,0,0,0,0,0,0,0,0,0,0,0,2.819742228,42.49646374,0.360679112,0,0,0,0,0,0,0,0,0,0,0,1.598401598,41.75824176,1.098901099
0,0,0,40,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,13.27656376,49.9995625,0.000437504,0,0,0,0,0,0,0,0,0,0,0,0.900900901,49.44944945,0.600600601
0,0,0,40,0,0,0,0,40,20,0,0,0,0,0,0,0,0,0,0,0,16.44355526,33.3300259,0.003307428,0,0,0,0,0,0,0,0,0,0,0,9.833738848,32.33982157,0.141930251
0,0,0,20,0,0,0,0,50,30,0,0,0,0,0,0,0,0,0,0,0,5.419249459,32.19185482,5.308145178,0,0,0,0,0,0,0,0,0,0,0,2.302302302,27.72772773,9.70970971
0,0,0,35,0,0,0,0,55,10,0,0,0,0,0,0,0,0,0,0,0,21.23352953,15.35756821,0.027047173,0,0,0,0,0,0,0,0,0,0,0,23.3,14.9,0.5
0,0,0,30,0,0,0,0,65,5,0,0,0,0,0,0,0,0,0,0,0,24.22582527,7.095067426,0.047789717,0,0,0,0,0,0,0,0,0,0,0,28.67132867,6.893106893,0.2997003
0,0,0,16.66666667,0,0,0,0,83.33333333,0,0,0,0,0,0,0,0,0,0,0,0,17.33767642,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,0,0
0,0,0,25.37313433,0,0,0,0,74.62686567,0,0,0,0,0,0,0,0,0,0,0,0,26.1965178,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8,0,0
0,0,0,33.33333333,0,0,0,0,66.66666667,0,0,0,0,0,0,0,0,0,0,0,0,28.91395562,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,0,0
0,0,0,40.0119976,0,0,0,0,59.9880024,0,0,0,0,0,0,0,0,0,0,0,0,25.20920467,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8,0,0
0,0,0,45.05494505,0,0,0,0,54.94505495,0,0,0,0,0,0,0,0,0,0,0,0,22.17788641,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
0,0,0,5,0,0,0,95,0,0,0,0,0,0,0,0,0,95.00138239,4.997235217,0.001382392,3.78E-13,0,0,0,0,0,0,0,0,0,0,92,8,0,0,0,0,0
0,0,0,10,0,0,0,90,0,0,0,0,0,0,0,0,0,89.00792506,10.98414989,0.007925055,6.74E-12,0,0,0,0,0,0,0,0,0,0,87,13,0,0,0,0,0
0,0,0,12.5,0,0,0,87.5,0,0,0,0,0,0,0,0,0,86.01339833,13.97320335,0.013398325,1.55E-11,0,0,0,0,0,0,0,0,0,0,85,15,0,0,0,0,0
0,0,0,15,0,0,0,85,0,0,0,0,0,0,0,0,0,82.02320626,17.95358748,0.023206258,3.67E-11,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0
0,0,0,20,0,0,0,80,0,0,0,0,0,0,0,0,0,75.04806897,24.90386205,0.048068972,1.15E-10,0,0,0,0,0,0,0,0,0,0,71,29,0,0,0,0,0
0,0,0,25,0,0,0,75,0,0,0,0,0,0,0,0,0,67.09054103,32.81891794,0.09054103,3.10E-10,0,0,0,0,0,0,0,0,0,0,66,34,0,0,0,0,0
0,0,0,30,0,0,0,70,0,0,0,0,0,0,0,0,0,57.17014964,42.65970072,0.170149641,8.37E-10,0,0,0,0,0,0,0,0,0,0,52,48,0,0,0,0,0
0,0,0,40,0,0,0,60,0,0,0,0,0,0,0,0,0,33.55769109,65.88461783,0.557691078,5.64E-09,0,0,0,0,0,0,0,0,0,0,34,66,0,0,0,0,0
0,0,0,45,0,0,0,55,0,0,0,0,0,0,0,0,0,19.09958914,79.80082173,1.099589107,1.75E-08,0,0,0,0,0,0,0,0,0,0,22,78,0,0,0,0,0
0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,3.125672317,93.74865548,3.125672098,1.09E-07,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
0,0,0,55,0,0,0,45,0,0,0,0,0,0,0,0,0,9.15E-16,78.00000544,21.99998913,5.44E-06,0,0,0,0,0,0,0,0,0,0,0,78,22,0,0,0,0
