Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM,Si6,Si5,Si4,Si3,Si2,Si1,Si0,P3,P2,P1,P0,B4,Al4,Al6
0,40,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,33.19736717,66.60526565,0.197367174,7.74E-16,0,0,0,0,0,0,0,0,0,0,34,66,0,0,0,0,0
0,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,1.38930799,97.22138402,1.38930799,2.24E-14,0,0,0,0,0,0,0,0,0,0,0,99,1,0,0,0,0
0,51,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,96.10148501,3.949257493,1.54E-13,0,0,0,0,0,0,0,0,0,0,0,98,2,0,0,0,0
0,15,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,82.00807033,17.98385933,0.008070333,4.91E-18,0,0,0,0,0,0,0,0,0,0,90,10,0,0,0,0,0
0,35,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,46.10669861,53.78660277,0.106698613,2.86E-16,0,0,0,0,0,0,0,0,0,0,51,49,0,0,0,0,0
0,55,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,78.10148501,21.94925749,5.94E-12,0,0,0,0,0,0,0,0,0,0,0,77,23,0,0,0,0
0,0,20,0,0,0,80,0,0,0,0,0,50.51869828,48.96278622,0.518332745,0.000182755,6.57E-09,0,0,0,0,0,0,0,0,0,49,51,0,0,0,0,0,0,0,0,0,0
0,0,27.3,0,0,0,72.7,0,0,0,0,0,26.62175818,71.75765123,1.619423086,0.001167419,8.48E-08,0,0,0,0,0,0,0,0,0,25,72,3,0,0,0,0,0,0,0,0,0
0,0,28.6,0,0,0,71.4,0,0,0,0,0,22.01289609,75.97588464,2.009542579,0.001676547,1.40E-07,0,0,0,0,0,0,0,0,0,22,74,4,0,0,0,0,0,0,0,0,0
0,0,33.3,0,0,0,66.7,0,0,0,0,0,5.304840618,89.3993981,5.286683459,0.009076306,1.52E-06,0,0,0,0,0,0,0,0,0,7,86,7,0,0,0,0,0,0,0,0,0
0,0,36.4,0,0,0,63.6,0,0,0,0,0,0.093591515,85.87129414,13.97665974,0.05843205,2.26E-05,0,0,0,0,0,0,0,0,0,5,81,14,0,0,0,0,0,0,0,0,0
0,0,40,0,0,0,60,0,0,0,0,0,1.14E-06,67.36049644,32.27936314,0.359779837,0.000359443,0,0,0,0,0,0,0,0,0,0,67,32,1,0,0,0,0,0,0,0,0
0,0,42.9,0,0,0,57.1,0,0,0,0,0,5.86E-13,50.96149484,48.07868966,0.95813618,0.001679328,0,0,0,0,0,0,0,0,0,0,51,48,1,0,0,0,0,0,0,0,0
0,0,44.4,0,0,0,55.6,0,0,0,0,0,2.21E-18,41.53470846,56.93413656,1.527601493,0.003553485,0,0,0,0,0,0,0,0,0,0,41,57,2,0,0,0,0,0,0,0,0
0,0,50,0,0,0,50,0,0,0,0,0,0,8.052247608,83.95388034,7.935496493,0.058375557,0,0,0,0,0,0,0,0,0,0,9,84,7,0,0,0,0,0,0,0,0
0,0,28.15256539,0,0,0,71.84743461,0,0,0,0,0,23.84575607,74.30993727,1.842857344,0.001449193,1.15E-07,0,0,0,0,0,0,0,0,0,18.54,76.68,4.78,0,0,0,0,0,0,0,0,0
0,0,45.74004216,0,0,0,54.25995784,0,0,0,0,0,3.26E-26,33.25506134,64.49652718,2.241761626,0.006649857,0,0,0,0,0,0,0,0,0,0,31.36,63.37,5.27,0,0,0,0,0,0,0,0
0,0,49.46452227,0,0,0,50.53547773,0,0,0,0,0,0,10.77539647,82.49215851,6.689493564,0.042951454,0,0,0,0,0,0,0,0,0,0,11.43,81.76,6.81,0,0,0,0,0,0,0,0
0,23.9,0,0,0,0,0,0,70.9,5.3,0,0,0,0,0,0,0,0,0,0,0,25.12440963,6.822376309,0.133004268,0,0,0,0,0,0,0,0,0,0,0,27.91164659,6.124497992,0.803212851
0,25,0,0,0,0,0,0,55,20,0,0,0,0,0,0,0,0,0,0,0,14.79450381,24.91856129,1.748105373,0,0,0,0,0,0,0,0,0,0,0,12.24954672,20.4202053,5.959480033
25,0,0,0,0,0,0,0,44.8,30.2,0,0,0,0,0,0,0,0,0,0,0,1.084273896,38.3575917,1.909074971,0,0,0,0,0,0,0,0,0,0,0,0.901171523,35.1456894,5.777510764
