Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM
27.8,0,0,0,0,0,72.2,0,0,0,0,0,28.8,65.48,5.65,0.08,0,0,0,0,0,0,0,0
28.06,0,0,0,0,0,71.94,0,0,0,0,0,27.99,66.1,5.83,0.08,0,0,0,0,0,0,0,0
28.32,0,0,0,0,0,71.68,0,0,0,0,0,27.19,66.7,6.02,0.08,0,0,0,0,0,0,0,0
28.57,0,0,0,0,0,71.43,0,0,0,0,0,26.4,67.3,6.22,0.09,0,0,0,0,0,0,0,0
28.83,0,0,0,0,0,71.17,0,0,0,0,0,25.61,67.88,6.42,0.09,0,0,0,0,0,0,0,0
29.08,0,0,0,0,0,70.92,0,0,0,0,0,24.83,68.45,6.63,0.1,0,0,0,0,0,0,0,0
29.33,0,0,0,0,0,70.67,0,0,0,0,0,24.05,69,6.84,0.1,0,0,0,0,0,0,0,0
29.58,0,0,0,0,0,70.42,0,0,0,0,0,23.28,69.54,7.06,0.11,0,0,0,0,0,0,0,0
29.82,0,0,0,0,0,70.18,0,0,0,0,0,22.52,70.07,7.29,0.11,0,0,0,0,0,0,0,0
30.07,0,0,0,0,0,69.93,0,0,0,0,0,21.77,70.59,7.52,0.12,0,0,0,0,0,0,0,0
30.31,0,0,0,0,0,69.69,0,0,0,0,0,21.02,71.08,7.77,0.13,0,0,0,0,0,0,0,0
30.56,0,0,0,0,0,69.44,0,0,0,0,0,20.28,71.57,8.01,0.13,0,0,0,0,0,0,0,0
30.8,0,0,0,0,0,69.2,0,0,0,0,0,19.55,72.03,8.27,0.14,0,0,0,0,0,0,0,0
31.03,0,0,0,0,0,68.97,0,0,0,0,0,18.83,72.48,8.53,0.15,0,0,0,0,0,0,0,0
31.27,0,0,0,0,0,68.73,0,0,0,0,0,18.12,72.92,8.81,0.16,0,0,0,0,0,0,0,0
31.51,0,0,0,0,0,68.49,0,0,0,0,0,17.42,73.33,9.09,0.16,0,0,0,0,0,0,0,0
31.74,0,0,0,0,0,68.26,0,0,0,0,0,16.72,73.73,9.37,0.17,0,0,0,0,0,0,0,0
31.97,0,0,0,0,0,68.03,0,0,0,0,0,16.04,74.1,9.67,0.18,0,0,0,0,0,0,0,0
32.2,0,0,0,0,0,67.8,0,0,0,0,0,15.37,74.46,9.98,0.19,0,0,0,0,0,0,0,0
32.43,0,0,0,0,0,67.57,0,0,0,0,0,14.7,74.8,10.3,0.2,0,0,0,0,0,0,0,0
32.66,0,0,0,0,0,67.34,0,0,0,0,0,14.05,75.11,10.62,0.21,0,0,0,0,0,0,0,0
32.89,0,0,0,0,0,67.11,0,0,0,0,0,13.41,75.4,10.96,0.23,0,0,0,0,0,0,0,0
33.11,0,0,0,0,0,66.89,0,0,0,0,0,12.79,75.67,11.3,0.24,0,0,0,0,0,0,0,0
33.33,0,0,0,0,0,66.67,0,0,0,0,0,12.17,75.92,11.66,0.25,0,0,0,0,0,0,0,0
33.55,0,0,0,0,0,66.45,0,0,0,0,0,11.57,76.14,12.03,0.26,0,0,0,0,0,0,0,0
33.77,0,0,0,0,0,66.23,0,0,0,0,0,10.98,76.33,12.41,0.28,0,0,0,0,0,0,0,0
33.99,0,0,0,0,0,66.01,0,0,0,0,0,10.4,76.5,12.8,0.3,0,0,0,0,0,0,0,0
34.21,0,0,0,0,0,65.79,0,0,0,0,0,9.84,76.64,13.21,0.31,0,0,0,0,0,0,0,0
34.43,0,0,0,0,0,65.57,0,0,0,0,0,9.29,76.76,13.62,0.33,0,0,0,0,0,0,0,0
34.64,0,0,0,0,0,65.36,0,0,0,0,0,8.76,76.84,14.05,0.35,0,0,0,0,0,0,0,0
34.85,0,0,0,0,0,65.15,0,0,0,0,0,8.24,76.9,14.49,0.37,0,0,0,0,0,0,0,0
35.06,0,0,0,0,0,64.94,0,0,0,0,0,7.73,76.93,14.94,0.39,0,0,0,0,0,0,0,0
35.28,0,0,0,0,0,64.72,0,0,0,0,0,7.25,76.92,15.41,0.41,0,0,0,0,0,0,0,0
35.48,0,0,0,0,0,64.52,0,0,0,0,0,6.78,76.89,15.89,0.44,0,0,0,0,0,0,0,0
35.69,0,0,0,0,0,64.31,0,0,0,0,0,6.32,76.82,16.39,0.46,0,0,0,0,0,0,0,0
35.9,0,0,0,0,0,64.1,0,0,0,0,0,5.89,76.72,16.9,0.49,0.01,0,0,0,0,0,0,0
36.1,0,0,0,0,0,63.9,0,0,0,0,0,5.47,76.59,17.42,0.52,0.01,0,0,0,0,0,0,0
