Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6err,Si5err,Si4err,Si3err,Si2err,Si1err,Si0err,P3err,P2err,P1err,P0err,B4err,Al4err,Al6err
24.36,0.0,0.0,0.0,27.17,0.0,36.3,12.17,0.0,0.0,0.0,-0.359168865,-6.201982485,-5.992043900000002,10.17425926,2.3499986239999995,0.028937358,0.0,4.424033977000001,11.551097890000001,-15.9751318762,0.0,0.0,0.0
21.07208872,0.0,0.0,0.0,21.93468885,0.0,54.83672212,2.156500308,0.0,0.0,0.0,0.0,0.907401368,1.2752051299999962,-2.946267640000002,0.7465560460000003,0.017105101,0.0,1.7011750630000002,4.788408264000001,-6.48958332653,0.0,0.0,0.0
24.41099476,0.0,0.0,0.0,24.7382199,0.0,44.37172775,6.479057592,0.0,0.0,0.0,0.0,-1.350639069,-21.473349219999996,19.35865506,3.413177586,0.052155639000000004,0.0,2.514034067,18.958568634,-21.472602701299998,0.0,0.0,0.0
22.9,0.0,0.0,0.0,25.5,0.0,48.6,3.0,0.0,0.0,0.0,0.0,0.097882063,11.16294543,-13.19045372,1.8318823549999994,0.097743878,0.0,0.8510781609999999,9.687383359,-10.5384615181,0.0,0.0,0.0
19.3,0.0,0.0,0.0,25.4,0.0,50.9,4.4,0.0,0.0,0.0,0.0,-0.02329193500000004,-4.803286,2.898704539999997,1.9083635810000001,0.019509817,0.0,3.25420452,10.469078553000001,-13.7232830683,0.0,0.0,0.0
16.2,0.0,0.0,0.0,22.6,0.0,57.2,4.0,0.0,0.0,0.0,0.0,1.3883560690000012,-11.549595150000002,9.34504947,0.813082654,0.003106958,0.0,5.230829894,4.646470715000001,-9.87730060943,0.0,0.0,0.0
47.2,0.0,0.0,0.0,0.0,0.0,0.0,52.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.00194795,-4.003895900000003,0.0019479520000000002,2.34e-14,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.030000001075678e-06,-1.8049999999547595e-05,9.03e-06,4.2799999999999996e-18,0.0,0.0,0.0
50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006371499,-0.012743000000000393,0.006371499,1.91e-13,0.0,0.0,0.0
8.205032137,0.0,0.0,0.0,0.0,0.0,18.0,72.0,0.0,0.0,-11.11111111,0.0,11.0859587,0.025150629,1.78e-06,8.02e-12,7.37e-18,-0.043244779999994876,0.043236504999999426,8.28e-06,3.92e-18,0.0,0.0,0.0
20.58287609,0.0,0.0,0.0,0.0,0.0,9.8,60.2,0.0,0.0,-7.52688172,0.0,7.466447238,0.060418082000000005,1.64e-05,3.08e-10,1.3e-15,-4.071240259999996,4.071133799999998,0.00010646100000000001,2.15e-16,0.0,0.0,0.0
5.075254097,0.0,0.0,0.0,0.0,0.0,21.3,58.3,0.0,0.0,-12.75837563,-0.46337926,13.196462279999999,0.025291382,1.23e-06,3.59e-12,1.95e-18,-0.8022583900000058,0.8022544220000016,3.96e-06,1.21e-18,0.0,0.0,0.0
