Na,Li,K,Ca,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM,Si6,Si5,Si4,Si3,Si2,Si1,Si0,P3,P2,P1,P0,B4,Al4,Al6
19.62981003,0,0,0,30.4,49.6,0,0,0,0,23.23824895,0.218472458,6.87E-05,1.49E-09,7.26E-15,46.76193603,29.78115758,0.000116265,2.73E-16,0,0,0,9.228901032,0,14.22788909,0,0,0,0,46.38982417,30.15338571,0,0,0,0,0
24.36,0,0,26.93,46.14,2.57,0,0,0,0,0.002870746,15.7917826,58.49236906,15.37127714,0.318299524,0,0.21035213,9.813048771,3.53E-08,0,0,0,0,0,1.515958557,22.56103029,47.17306333,18.36985075,0.356696131,0,0,3.468096724,6.555304212,0,0,0
24.42,0,0,26.93,43.22,5.43,0,0,0,0,0.015382005,19.57909494,50.05756283,10.10049012,0.166109156,0,0.822849537,19.25851135,5.50E-08,0,0,0,0,0,3.516420118,27.25225592,37.96135355,10.78901627,0.399593195,0,0,7.711242604,12.37011834,0,0,0
24.3,0,0,26.9,46.2,2.6,0,0,0,0,0.003467761,16.31991944,58.30865363,14.94826998,0.302957678,0,0.227330405,9.889401078,3.48E-08,0,0,0,0,0,0,10.96575875,48.98638132,29.9311284,0,0,0,2.701167315,7.415564202,0,0,0
24.3902439,0,0,26.82926829,43.90243902,4.87804878,0,0,0,0,0.012975824,19.35592259,51.55383588,10.71454838,0.180899141,0,0.694472473,17.48734566,5.14E-08,0,0,0,0,0,0,9,72.81818182,0,0,0,0.545454545,1.272727273,16.36363636,0,0,0
24.3902439,0,0,26.82926829,42.43902439,6.341463415,0,0,0,0,0.029462171,21.4287777,46.95243951,8.454668524,0.125802545,0,1.218571632,21.79027787,5.63E-08,0,0,0,0,0,0,25.40707965,40.80530973,10.77876106,0,0,0,4.601769912,18.40707965,0,0,0
21.07208872,0,0,21.93468885,54.83672212,2.156500308,0,0,0,0,1.834484701,52.26478846,35.99123236,2.600722713,0.017105101,0,1.701175063,5.590491597,6.47E-09,0,0,0,0,0,0.927083333,50.98958333,38.9375,1.854166667,0,0,0,0.802083333,6.489583333,0,0,0
21.54420922,0,0,20.2988792,55.16811955,2.98879203,0,0,0,0,3.070380642,55.74719686,29.68792894,1.709326236,0.00919991,0,2.839767922,6.936199485,7.17E-09,0,0,0,0,0,9.022403259,40.60081466,38.79633401,1.804480652,0,0,0,1.564154786,8.211812627,0,0,0
20.59925094,0,0,22.09737828,53.05867665,4.244694132,0,0,0,0,3.07226,52.61609972,28.78397652,1.725037829,0.009522491,0,3.983463105,9.809640334,9.23E-09,0,0,0,0,0,5.172413793,59.48275862,18.96551724,2.586206897,0,0,0,2.344827586,11.44827586,0,0,0
25.17482517,0,0,26.19198983,46.66242848,1.970756516,0,0,0,0,0.001370049,14.57600911,60.29731186,16.96182052,0.374543733,0,0.132158805,7.656785887,3.08E-08,0,0,0,0,0,0.922110553,14.75376884,71.00251256,5.532663317,0,0,0,0.311557789,7.477386935,0,0,0
23.51804124,0,0,26.03092784,45.10309278,5.347938144,0,0,0,0,0.091883859,27.37275372,46.3851359,6.895080775,0.086554528,0,1.511668436,17.65692275,3.80E-08,0,0,0,0,0,2.424942263,41.22401848,33.94919169,3.233256351,0,0,0,1.533487298,17.63510393,0,0,0
36.84573003,0,0,22.31404959,39.94490358,0.895316804,0,0,0,0,7.39E-33,0.018148934,22.03500031,64.29469451,9.361727202,0,1.15E-07,4.290428795,1.31E-07,0,0,0,0,0,0,0.95709571,47.85478548,44.98349835,1.914191419,0,0,0.815181518,3.475247525,0,0,0
32.08053691,0,0,22.68456376,43.08724832,2.147651007,0,0,0,0,2.16E-08,3.506599636,54.26601607,31.80847576,1.353752704,0,0.009381583,9.055774135,9.13E-08,0,0,0,0,0,0,1.818696884,52.74220963,33.64589235,2.728045326,0,0,1.178470255,7.886685552,0,0,0
32.46753247,0,0,22.00956938,41.28503076,4.237867396,0,0,0,0,7.95E-07,5.748133947,53.19478003,23.24400553,0.780112663,0,0.056095462,16.97687143,1.43E-07,0,0,0,0,0,0,9.126373626,49.78021978,24.06043956,0,0,0,1.192307692,15.84065934,0,0,0
24.3,0,0,26.9,46.2,2.6,0,0,0,0,0.003467761,16.31991944,58.30865363,14.94826998,0.302957678,0,0.227330405,9.889401078,3.48E-08,0,0,0,0,0,0,29.9311284,48.98638132,10.96575875,0,0,0,2.701167315,7.415564202,0,0,0
24.3694956,0,0,26.92153723,46.13690953,2.572057646,0,0,0,0,0.002863823,15.78978627,58.48838651,15.36946997,0.318267828,0,0.210491741,9.820733828,3.54E-08,0,0,0,0,0,1.799375488,21.59250585,47.68345043,17.99375488,0.899687744,0,0.200624512,3.31030445,6.520296643,0,0,0
14.47289458,0,0,15.98319664,66.91338268,2.630526105,0,0,0,0,27.30333189,56.91247856,8.337049616,0.157492019,0.00029093,0,4.638931545,2.650425438,7.93E-10,0,0,0,0,0.92710643,29.66740576,53.77217295,8.343957871,0,0,0,2.551274945,4.082039911,0.656042129,0,0,0
22.9,0,0,25.5,48.6,3,0,0,0,0,0.097882063,29.85525312,51.25350232,7.70660763,0.097743878,0,0.851078161,10.13793281,2.19E-08,0,0,0,0,0,0,18.69230769,64.44395604,5.874725275,0,0,0,0.450549451,10.53846154,0,0,0
18.1,0,0,25,55.9,1,0,0,0,0,1.639658158,50.5486609,40.84566582,3.485658017,0.02612567,0,0.709932146,2.744299284,2.85E-09,0,0,0,0,0,1.544732297,49.43143351,43.9283247,1.641278066,0,0,0,0.348877375,3.105354059,0,0,0
19.1,0,0,25.8,52.7,2.4,0,0,0,0,1.005396406,44.63860368,41.94318969,4.031275006,0.033709125,0,1.449296769,6.89852931,8.22E-09,0,0,0,0,0,1.833043478,51.60017391,37.11913043,1.099826087,0,0,0,0.868173913,7.479652174,0,0,0
20.1,0,0,27.4,46,6.5,0,0,0,0,0.785783642,37.36549628,36.21563993,3.568701105,0.030480737,0,3.692599041,18.34129924,2.22E-08,0,0,0,0,0,1.247457627,42.95932203,32.97966102,0.779661017,0,0,0,2.159322034,19.87457627,0,0,0
15.1,0,0,20.6,62.3,2,0,0,0,0,13.65657673,62.38273824,17.32848019,0.597094642,0.001927698,0,2.90505834,3.128124162,1.36E-09,0,0,0,0,0,9.490648567,74.32775264,10.14841629,0,0,0,0,1.236802413,4.79638009,0,0,0
16.1,0,0,22.6,58.3,3,0,0,0,0,8.822594161,59.46121602,21.44951309,0.931683349,0.003733658,0,3.832746326,5.498513391,2.91E-09,0,0,0,0,0,6.981493002,70.63094868,13.0562986,0,0,0,0,1.735614308,7.595645412,0,0,0
17.2,0,0,24.4,52.4,6,0,0,0,0,6.30987033,52.44605302,21.55739121,1.048479878,0.004665183,0,6.99201657,11.6415238,6.82E-09,0,0,0,0,0,8.218012422,63.30310559,9.845341615,0,0,0,0,3.335403727,15.29813665,0,0,0
