Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6err,Si5err,Si4err,Si3err,Si2err,Si1err,Si0err,P3err,P2err,P1err,P0err,B4err,Al4err,Al6err
0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2213406299999998,0.7382219800000058,-0.7382219870000001
0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.375662859,0.5501130500000002,-0.600163097
0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.609816412000001,0.9902043299999974,-0.138622823
0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,50.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.116947157,4.464127090000002,-4.401564532
0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,55.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0664704700000023,0.4575682099999998,-0.472952827
0.0,0.0,0.0,16.66666667,0.0,0.0,0.0,0.0,83.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9376764200000007,0.0,0.0
0.0,0.0,0.0,25.37313433,0.0,0.0,0.0,0.0,74.62686567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3965178000000016,0.0,0.0
0.0,0.0,0.0,33.33333333,0.0,0.0,0.0,0.0,66.66666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6139556199999987,0.0,0.0
0.0,0.0,0.0,40.0119976,0.0,0.0,0.0,0.0,59.9880024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5907953300000024,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0013823900000034,-3.002764783,0.001382392,3.7799999999999995e-13,0.0,0.0,0.0
0.0,0.0,0.0,10.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.007925060000005,-2.0158501100000006,0.007925055,6.74e-12,0.0,0.0,0.0
0.0,0.0,0.0,12.5,0.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0133983300000011,-1.0267966499999996,0.013398325,1.5499999999999998e-11,0.0,0.0,0.0
0.0,0.0,0.0,20.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.048068970000003,-4.096137949999999,0.048068972,1.15e-10,0.0,0.0,0.0
0.0,0.0,0.0,25.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0905410299999971,-1.1810820600000014,0.09054103,3.1e-10,0.0,0.0,0.0
0.0,0.0,0.0,30.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.170149639999998,-5.3402992800000035,0.17014964100000002,8.37e-10,0.0,0.0,0.0
0.0,0.0,0.0,45.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.900410860000001,1.8008217299999956,1.0995891070000001,1.75e-08,0.0,0.0,0.0
0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125672317,-6.2513445200000035,3.125672098,1.0900000000000001e-07,0.0,0.0,0.0
0.0,0.0,0.0,55.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.15e-16,5.439999995360267e-06,-1.0870000000551272e-05,5.44e-06,0.0,0.0,0.0
0.0,0.0,0.0,60.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.000037450000001,-5.000074910000002,3.75e-05,0.0,0.0,0.0
0.0,0.0,0.0,23.3,0.0,0.0,76.7,0.0,0.0,0.0,0.0,0.0,6.01684496,-6.033689899999999,0.01684492,1.97e-08,5.41e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,31.3,0.0,0.0,68.7,0.0,0.0,0.0,0.0,0.0,0.07501584899999969,-0.1500314599999939,0.075015367,2.41e-07,1.7600000000000002e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,37.8,0.0,0.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,0.20430888999999297,0.37144333000000174,0.017601481000000002,2.9499999999999996e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,39.7,0.0,0.0,60.3,0.0,0.0,0.0,0.0,0.0,0.0,1.2285118599999976,-0.6769626100000004,0.041804451,1.14e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,45.1,0.0,0.0,54.9,0.0,0.0,0.0,0.0,0.0,0.0,-0.5667287099999996,0.9135185499999992,0.246563842,1.92e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.11,0.0,0.0,94.89,0.0,0.0,0.0,0.0,0.0,0.24030811000000085,-0.24061621999999971,0.00030811,3.5700000000000003e-11,9e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,12.33,0.0,0.0,87.67,0.0,0.0,0.0,0.0,0.0,0.9424240200000042,-0.9448480300000028,0.002424014,9.130000000000001e-10,8.04e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,16.77,0.0,0.0,83.23,0.0,0.0,0.0,0.0,0.0,0.9755952000000008,-0.9811903900000019,0.005595190999999999,3.4000000000000003e-09,4.85e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,21.95,0.0,0.0,78.05,0.0,0.0,0.0,0.0,0.0,1.4432484999999957,-1.456496989999998,0.013248476,1.3400000000000001e-08,3.18e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,30.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,-0.7441748400000012,4.188349829999993,-3.544175133,1.44e-07,8.57e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.94,0.0,0.0,0.0,0.0,0.0,92.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.710692993999999,0.0,0.0
0.0,0.0,13.04,0.0,0.0,0.0,0.0,0.0,86.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0809327900000003,0.0,0.0
0.0,0.0,17.95,0.0,0.0,0.0,0.0,0.0,82.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.859753030000002,0.0,0.0
0.0,0.0,22.85,0.0,0.0,0.0,0.0,0.0,77.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.034803459999999,0.0,0.0
0.0,0.0,27.91,0.0,0.0,0.0,0.0,0.0,72.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5828466500000005,0.0,0.0
0.0,0.0,37.96,0.0,0.0,0.0,0.0,0.0,62.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.229112819999997,0.0,0.0
0.0,0.0,45.22,0.0,0.0,0.0,0.0,0.0,54.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.9997913700000005,0.0,0.0
0.0,0.0,20.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1.5186982800000024,-2.037213780000002,0.518332745,0.000182755,6.57e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,27.3,0.0,0.0,0.0,72.7,0.0,0.0,0.0,0.0,0.0,1.6217581800000005,-0.24234877000000665,-1.3805769140000002,0.0011674189999999998,8.48e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,28.6,0.0,0.0,0.0,71.4,0.0,0.0,0.0,0.0,0.0,0.012896090000001692,1.9758846400000039,-1.990457421,0.001676547,1.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,33.3,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,-1.695159382,3.399398099999985,-1.7133165410000002,0.009076306,1.52e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,40.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,1.14e-06,0.3604964400000057,0.27936314000000095,-0.640220163,0.00035944300000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,42.9,0.0,0.0,0.0,57.1,0.0,0.0,0.0,0.0,0.0,5.859999999999999e-13,-0.038505159999999705,0.07868966000000199,-0.041863819999999996,0.001679328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,44.4,0.0,0.0,0.0,55.6,0.0,0.0,0.0,0.0,0.0,2.21e-18,0.5347084599999974,-0.0658634400000011,-0.47239850699999986,0.003553485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,28.15256539,0.0,0.0,0.0,71.84743461,0.0,0.0,0.0,0.0,0.0,5.305756070000001,-2.370062730000001,-2.9371426560000002,0.0014491929999999999,1.15e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,45.74004216,0.0,0.0,0.0,54.25995784,0.0,0.0,0.0,0.0,0.0,3.2599999999999994e-26,1.895061339999998,1.1265271800000036,-3.028238374,0.0066498569999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
